Subject,Block,Cond,Time,Signal
1,Can,Standard,-0.203125,-9.21102226949071e-08
1,Can,Standard,-0.1953125,-6.168153720524299e-08
1,Can,Standard,-0.1875,-8.582442244186052e-08
1,Can,Standard,-0.1796875,-8.525469798048541e-08
1,Can,Standard,-0.171875,-2.1415324997789937e-08
1,Can,Standard,-0.1640625,1.1944150952213636e-08
1,Can,Standard,-0.15625,-6.833450931898336e-08
1,Can,Standard,-0.1484375,-1.6997840489055525e-07
1,Can,Standard,-0.140625,-1.4491363672591309e-07
1,Can,Standard,-0.1328125,-2.2028588173829646e-08
1,Can,Standard,-0.125,3.48262740812596e-08
1,Can,Standard,-0.1171875,-2.0558926552242064e-08
1,Can,Standard,-0.109375,-5.6016971737566484e-08
1,Can,Standard,-0.1015625,1.0215970190515564e-08
1,Can,Standard,-0.09375,1.0125956052959102e-07
1,Can,Standard,-0.0859375,1.2314278360615034e-07
1,Can,Standard,-0.078125,8.590122665588131e-08
1,Can,Standard,-0.0703125,4.768348828898054e-08
1,Can,Standard,-0.0625,2.210116598021292e-08
1,Can,Standard,-0.0546875,6.826447600251423e-10
1,Can,Standard,-0.046875,-1.3446707398193215e-08
1,Can,Standard,-0.0390625,-1.9883242790992802e-08
1,Can,Standard,-0.03125,-2.1482077525049064e-08
1,Can,Standard,-0.0234375,1.4457212649404831e-09
1,Can,Standard,-0.015625,7.41550295979795e-08
1,Can,Standard,-0.0078125,1.5013879873578213e-07
1,Can,Standard,0.0,1.2732222408833484e-07
1,Can,Standard,0.0078125,1.1487851730271759e-08
1,Can,Standard,0.015625,-3.6211740571751736e-08
1,Can,Standard,0.0234375,7.832853892978139e-08
1,Can,Standard,0.03125,2.354815394349333e-07
1,Can,Standard,0.0390625,2.943031189069846e-07
1,Can,Standard,0.046875,3.077227399622107e-07
1,Can,Standard,0.0546875,3.964144835730852e-07
1,Can,Standard,0.0625,5.10303930338373e-07
1,Can,Standard,0.0703125,4.838305279276125e-07
1,Can,Standard,0.078125,2.678283380344819e-07
1,Can,Standard,0.0859375,-1.7082896807929335e-08
1,Can,Standard,0.09375,-2.1424172188081886e-07
1,Can,Standard,0.1015625,-2.8851494060072366e-07
1,Can,Standard,0.109375,-3.213732497300923e-07
1,Can,Standard,0.1171875,-3.5900052435944713e-07
1,Can,Standard,0.125,-3.1258074022958e-07
1,Can,Standard,0.1328125,-1.064839207814795e-07
1,Can,Standard,0.140625,1.4689263699466017e-07
1,Can,Standard,0.1484375,2.736783346025753e-07
1,Can,Standard,0.15625,2.8611088305380775e-07
1,Can,Standard,0.1640625,3.3658342213399107e-07
1,Can,Standard,0.171875,4.732384545800255e-07
1,Can,Standard,0.1796875,6.028538799669485e-07
1,Can,Standard,0.1875,6.371065005390788e-07
1,Can,Standard,0.1953125,5.758664368768324e-07
1,Can,Standard,0.203125,4.799506634499319e-07
1,Can,Standard,0.2109375,4.0701162769320786e-07
1,Can,Standard,0.21875,3.6161419149820607e-07
1,Can,Standard,0.2265625,2.9926552541301414e-07
1,Can,Standard,0.234375,2.2775345257854347e-07
1,Can,Standard,0.2421875,1.924831306038362e-07
1,Can,Standard,0.25,1.806813546234688e-07
1,Can,Standard,0.2578125,1.4326025354819143e-07
1,Can,Standard,0.265625,8.836635238700217e-08
1,Can,Standard,0.2734375,4.4205846382565914e-08
1,Can,Standard,0.28125,-2.5430425121462265e-08
1,Can,Standard,0.2890625,-1.1994320994691732e-07
1,Can,Standard,0.296875,-1.4295369395772615e-07
1,Can,Standard,0.3046875,-6.57188454869777e-08
1,Can,Standard,0.3125,-1.7202381610226924e-08
1,Can,Standard,0.3203125,-7.642690779458965e-08
1,Can,Standard,0.328125,-1.5879644787801545e-07
1,Can,Standard,0.3359375,-1.9092488349412694e-07
1,Can,Standard,0.34375,-2.0504456526110892e-07
1,Can,Standard,0.3515625,-2.2161156468828652e-07
1,Can,Standard,0.359375,-2.133684985370099e-07
1,Can,Standard,0.3671875,-2.2211638719456577e-07
1,Can,Standard,0.375,-3.2216483644968597e-07
1,Can,Standard,0.3828125,-4.6784815181912667e-07
1,Can,Standard,0.390625,-5.505200183076982e-07
1,Can,Standard,0.3984375,-5.385461600857333e-07
1,Can,Standard,0.40625,-4.84347218864263e-07
1,Can,Standard,0.4140625,-4.1890336849508315e-07
1,Can,Standard,0.421875,-3.369056840064772e-07
1,Can,Standard,0.4296875,-2.3359327381343986e-07
1,Can,Standard,0.4375,-1.341713205624444e-07
1,Can,Standard,0.4453125,-8.516006788671208e-08
1,Can,Standard,0.453125,-1.0531893777327732e-07
1,Can,Standard,0.4609375,-1.3990612416962969e-07
1,Can,Standard,0.46875,-1.5071817841023889e-07
1,Can,Standard,0.4765625,-1.759559017293108e-07
1,Can,Standard,0.484375,-2.2917116418035147e-07
1,Can,Standard,0.4921875,-2.3022835522990958e-07
1,Can,Standard,0.5,-1.7382015079506125e-07
2,Can,Standard,-0.203125,1.6470607786839137e-07
2,Can,Standard,-0.1953125,1.1627176727302292e-07
2,Can,Standard,-0.1875,7.874549366380354e-08
2,Can,Standard,-0.1796875,2.038126058376346e-08
2,Can,Standard,-0.171875,-6.117643232435095e-08
2,Can,Standard,-0.1640625,-6.48552595680576e-08
2,Can,Standard,-0.15625,3.471038206603834e-08
2,Can,Standard,-0.1484375,9.839506238422737e-08
2,Can,Standard,-0.140625,3.9693707660747745e-08
2,Can,Standard,-0.1328125,-3.9854811990237424e-08
2,Can,Standard,-0.125,-3.7707083979179416e-08
2,Can,Standard,-0.1171875,4.903109341110702e-11
2,Can,Standard,-0.109375,-3.5298402881515373e-09
2,Can,Standard,-0.1015625,-4.297499562920665e-08
2,Can,Standard,-0.09375,-7.837212064721007e-08
2,Can,Standard,-0.0859375,-7.540904373190023e-08
2,Can,Standard,-0.078125,-1.7741695235225513e-08
2,Can,Standard,-0.0703125,3.73520736629103e-08
2,Can,Standard,-0.0625,2.876630042439596e-09
2,Can,Standard,-0.0546875,-7.963013773016527e-08
2,Can,Standard,-0.046875,-8.031712500918985e-08
2,Can,Standard,-0.0390625,-7.57379272634014e-09
2,Can,Standard,-0.03125,2.1150910411228123e-08
2,Can,Standard,-0.0234375,1.926362230017383e-08
2,Can,Standard,-0.015625,7.084410766102435e-08
2,Can,Standard,-0.0078125,8.871720307414747e-08
2,Can,Standard,0.0,-3.9308914222982254e-08
2,Can,Standard,0.0078125,-1.6282224593515374e-07
2,Can,Standard,0.015625,-8.856497020428219e-08
2,Can,Standard,0.0234375,6.218033570862685e-08
2,Can,Standard,0.03125,1.0072246711910817e-07
2,Can,Standard,0.0390625,1.582920800305734e-07
2,Can,Standard,0.046875,4.0324052815906766e-07
2,Can,Standard,0.0546875,6.096119546279386e-07
2,Can,Standard,0.0625,4.672922696476763e-07
2,Can,Standard,0.0703125,1.0151740327716858e-07
2,Can,Standard,0.078125,-1.2496381650735717e-07
2,Can,Standard,0.0859375,-1.1673898055547841e-07
2,Can,Standard,0.09375,-7.95757559398745e-09
2,Can,Standard,0.1015625,1.4458178966120606e-07
2,Can,Standard,0.109375,3.3515576831922924e-07
2,Can,Standard,0.1171875,4.813031292094474e-07
2,Can,Standard,0.125,5.526097703765764e-07
2,Can,Standard,0.1328125,6.480324200691387e-07
2,Can,Standard,0.140625,8.032309391019399e-07
2,Can,Standard,0.1484375,8.944597937971838e-07
2,Can,Standard,0.15625,8.356576261234236e-07
2,Can,Standard,0.1640625,7.154414534609846e-07
2,Can,Standard,0.171875,6.593060504071372e-07
2,Can,Standard,0.1796875,6.638098468330055e-07
2,Can,Standard,0.1875,6.236078037893738e-07
2,Can,Standard,0.1953125,4.796816533168111e-07
2,Can,Standard,0.203125,2.9702304661212136e-07
2,Can,Standard,0.2109375,1.8304697250495317e-07
2,Can,Standard,0.21875,1.5758218937815917e-07
2,Can,Standard,0.2265625,1.5345968014048976e-07
2,Can,Standard,0.234375,1.2430004787224952e-07
2,Can,Standard,0.2421875,6.98382303254937e-08
2,Can,Standard,0.25,-9.875816150101126e-09
2,Can,Standard,0.2578125,-9.076025802276802e-08
2,Can,Standard,0.265625,-1.1166939336241484e-07
2,Can,Standard,0.2734375,-7.071119406649973e-08
2,Can,Standard,0.28125,-5.218661053755779e-08
2,Can,Standard,0.2890625,-9.405131518156737e-08
2,Can,Standard,0.296875,-1.3818147268002677e-07
2,Can,Standard,0.3046875,-1.4497296196548296e-07
2,Can,Standard,0.3125,-1.3249720432703344e-07
2,Can,Standard,0.3203125,-1.0629913102030304e-07
2,Can,Standard,0.328125,-7.824968434368517e-08
2,Can,Standard,0.3359375,-1.0425911285728799e-07
2,Can,Standard,0.34375,-1.9083911734086838e-07
2,Can,Standard,0.3515625,-2.6268439969296797e-07
2,Can,Standard,0.359375,-3.014013468481328e-07
2,Can,Standard,0.3671875,-3.546890917953883e-07
2,Can,Standard,0.375,-3.763359515454185e-07
2,Can,Standard,0.3828125,-2.802677485214299e-07
2,Can,Standard,0.390625,-1.5404245321177232e-07
2,Can,Standard,0.3984375,-1.4657541116407987e-07
2,Can,Standard,0.40625,-1.7596062114625726e-07
2,Can,Standard,0.4140625,-5.6603526586595485e-08
2,Can,Standard,0.421875,1.344303383278754e-07
2,Can,Standard,0.4296875,1.5364306349146613e-07
2,Can,Standard,0.4375,-6.967503237529979e-09
2,Can,Standard,0.4453125,-1.3753072833967978e-07
2,Can,Standard,0.453125,-1.5806696994269558e-07
2,Can,Standard,0.4609375,-1.4839715643912595e-07
2,Can,Standard,0.46875,-1.2741461390177246e-07
2,Can,Standard,0.4765625,-7.60252654907243e-08
2,Can,Standard,0.484375,-6.535089357804462e-08
2,Can,Standard,0.4921875,-1.3246270217795386e-07
2,Can,Standard,0.5,-1.583273132713693e-07
3,Can,Standard,-0.203125,-3.465666813598891e-08
3,Can,Standard,-0.1953125,-1.4666749489994677e-07
3,Can,Standard,-0.1875,2.9126507955342757e-08
3,Can,Standard,-0.1796875,1.971741764749354e-07
3,Can,Standard,-0.171875,9.862510124876698e-08
3,Can,Standard,-0.1640625,-5.7163603502114875e-08
3,Can,Standard,-0.15625,-9.649436533926652e-09
3,Can,Standard,-0.1484375,1.126048112648488e-07
3,Can,Standard,-0.140625,8.822322739152462e-08
3,Can,Standard,-0.1328125,-1.4481594801475833e-08
3,Can,Standard,-0.125,-1.2958566007830405e-08
3,Can,Standard,-0.1171875,8.26107961005695e-08
3,Can,Standard,-0.109375,1.1440809418537817e-07
3,Can,Standard,-0.1015625,1.1906125971046301e-08
3,Can,Standard,-0.09375,-1.0871715304853494e-07
3,Can,Standard,-0.0859375,-8.430879508874974e-08
3,Can,Standard,-0.078125,5.8982909656003136e-08
3,Can,Standard,-0.0703125,1.2378389068897323e-07
3,Can,Standard,-0.0625,4.137204890175309e-08
3,Can,Standard,-0.0546875,-4.7231555305193484e-08
3,Can,Standard,-0.046875,-7.277100638544147e-08
3,Can,Standard,-0.0390625,-1.1686624809741152e-07
3,Can,Standard,-0.03125,-1.5252587178981818e-07
3,Can,Standard,-0.0234375,-6.208150139508136e-08
3,Can,Standard,-0.015625,5.157230576472643e-08
3,Can,Standard,-0.0078125,-8.358904479195822e-09
3,Can,Standard,0.0,-1.1660827581555913e-07
3,Can,Standard,0.0078125,-1.4919502908344114e-08
3,Can,Standard,0.015625,1.53292647795139e-07
3,Can,Standard,0.0234375,6.61329491820301e-08
3,Can,Standard,0.03125,-1.1896489439275926e-07
3,Can,Standard,0.0390625,3.2933060207096466e-08
3,Can,Standard,0.046875,4.3860688893869697e-07
3,Can,Standard,0.0546875,5.427229760779411e-07
3,Can,Standard,0.0625,1.494747258700542e-07
3,Can,Standard,0.0703125,-3.4793783173218e-07
3,Can,Standard,0.078125,-5.646124065473744e-07
3,Can,Standard,0.0859375,-5.088142821625229e-07
3,Can,Standard,0.09375,-3.529361909709485e-07
3,Can,Standard,0.1015625,-1.4080032051893205e-07
3,Can,Standard,0.109375,2.1685703196032016e-07
3,Can,Standard,0.1171875,7.655688833292828e-07
3,Can,Standard,0.125,1.3533102970019977e-06
3,Can,Standard,0.1328125,1.7323197420175727e-06
3,Can,Standard,0.140625,1.8547148422575423e-06
3,Can,Standard,0.1484375,1.9208924991789252e-06
3,Can,Standard,0.15625,2.0607040004986256e-06
3,Can,Standard,0.1640625,2.152247477942529e-06
3,Can,Standard,0.171875,2.0327194607771564e-06
3,Can,Standard,0.1796875,1.7169777960505395e-06
3,Can,Standard,0.1875,1.3266897217978771e-06
3,Can,Standard,0.1953125,9.365787429698207e-07
3,Can,Standard,0.203125,5.598389330110282e-07
3,Can,Standard,0.2109375,2.0570105598802188e-07
3,Can,Standard,0.21875,-1.1595209803607862e-07
3,Can,Standard,0.2265625,-4.0861434118792345e-07
3,Can,Standard,0.234375,-6.512759473874934e-07
3,Can,Standard,0.2421875,-7.654710939873408e-07
3,Can,Standard,0.25,-7.151719063172888e-07
3,Can,Standard,0.2578125,-6.200779708765539e-07
3,Can,Standard,0.265625,-6.273828412101248e-07
3,Can,Standard,0.2734375,-6.859744625848711e-07
3,Can,Standard,0.28125,-6.292053485423977e-07
3,Can,Standard,0.2890625,-4.525258743570066e-07
3,Can,Standard,0.296875,-2.99327324237907e-07
3,Can,Standard,0.3046875,-2.1346201460310054e-07
3,Can,Standard,0.3125,-1.3448551117275396e-07
3,Can,Standard,0.3203125,-7.705681508205877e-08
3,Can,Standard,0.328125,-1.048946135902897e-07
3,Can,Standard,0.3359375,-1.9438651471729502e-07
3,Can,Standard,0.34375,-2.8294389672073606e-07
3,Can,Standard,0.3515625,-3.6697971160856456e-07
3,Can,Standard,0.359375,-4.551532636748609e-07
3,Can,Standard,0.3671875,-5.355732967931883e-07
3,Can,Standard,0.375,-6.327865298812109e-07
3,Can,Standard,0.3828125,-7.617005963381901e-07
3,Can,Standard,0.390625,-8.36416563737135e-07
3,Can,Standard,0.3984375,-7.681926276784807e-07
3,Can,Standard,0.40625,-6.330438821421678e-07
3,Can,Standard,0.4140625,-5.999306780602505e-07
3,Can,Standard,0.421875,-6.913337035164099e-07
3,Can,Standard,0.4296875,-7.815554170543446e-07
3,Can,Standard,0.4375,-8.408734227701157e-07
3,Can,Standard,0.4453125,-9.706227182897817e-07
3,Can,Standard,0.453125,-1.123033976741277e-06
3,Can,Standard,0.4609375,-1.0410426816971797e-06
3,Can,Standard,0.46875,-6.640443509112975e-07
3,Can,Standard,0.4765625,-3.2487230731639584e-07
3,Can,Standard,0.484375,-3.017029790032011e-07
3,Can,Standard,0.4921875,-4.355900670882972e-07
3,Can,Standard,0.5,-4.464925488223075e-07
4,Can,Standard,-0.203125,1.7332046455334554e-07
4,Can,Standard,-0.1953125,1.7591870366068065e-07
4,Can,Standard,-0.1875,5.4511106389121687e-08
4,Can,Standard,-0.1796875,-4.158094301294581e-08
4,Can,Standard,-0.171875,-3.094844949593151e-08
4,Can,Standard,-0.1640625,-3.4345165075066155e-08
4,Can,Standard,-0.15625,-1.3529495936940328e-07
4,Can,Standard,-0.1484375,-2.2659371016260095e-07
4,Can,Standard,-0.140625,-1.9629667919244319e-07
4,Can,Standard,-0.1328125,-9.512736466379526e-08
4,Can,Standard,-0.125,-4.155880978401457e-08
4,Can,Standard,-0.1171875,-6.977274233341636e-08
4,Can,Standard,-0.109375,-1.179202323395408e-07
4,Can,Standard,-0.1015625,-9.222362902539234e-08
4,Can,Standard,-0.09375,2.0106982122181065e-08
4,Can,Standard,-0.0859375,1.142395585868247e-07
4,Can,Standard,-0.078125,9.04144337911175e-08
4,Can,Standard,-0.0703125,-1.388221878473072e-08
4,Can,Standard,-0.0625,-7.931346291904806e-08
4,Can,Standard,-0.0546875,-1.7234161579014927e-08
4,Can,Standard,-0.046875,1.5137474307456678e-07
4,Can,Standard,-0.0390625,2.85295542468926e-07
4,Can,Standard,-0.03125,2.4675221098592097e-07
4,Can,Standard,-0.0234375,1.0168990285101107e-07
4,Can,Standard,-0.015625,1.793475544559346e-08
4,Can,Standard,-0.0078125,-1.6758576716703715e-09
4,Can,Standard,0.0,-6.446954195907239e-08
