Subject,Block,Cond,P3_ave
1,Can,Test2,7.695330336699526e-06
2,Can,Test2,-2.7261536955455533e-06
3,Can,Test2,-1.1408638663819625e-07
4,Can,Test2,-2.9856476867219133e-06
5,Can,Test2,7.437482649980815e-06
7,Can,Test2,1.433044003251423e-06
6,Can,Test2,-2.235546756689634e-06
8,Can,Test2,4.355683832728251e-06
9,Can,Test2,5.2696566344105764e-08
10,Can,Test2,-2.3396241548328453e-06
11,Can,Test2,-2.316238945159916e-06
15,Can,Test2,8.090025176563854e-07
16,Can,Test2,1.0359155657825904e-06
21,Can,Test2,1.5436998275425545e-06
22,Can,Test2,-2.5019400436983243e-06
24,Can,Test2,1.7750254483805138e-06
25,Can,Test2,-1.4060093846761279e-06
27,Can,Test2,2.3302629751302426e-08
29,Can,Test2,1.1656699482757725e-06
30,Can,Test2,5.674295680314807e-07
31,Can,Test2,-4.080919342142431e-07
32,Can,Test2,2.5908329590931974e-06
33,Can,Test2,3.235394758284285e-06
1,Can,Test1,3.452436739004924e-06
2,Can,Test1,-7.042677876891475e-07
3,Can,Test1,1.9977669497534568e-07
4,Can,Test1,-1.2376827945057656e-06
5,Can,Test1,3.302070676785011e-06
7,Can,Test1,8.884782291816153e-07
6,Can,Test1,2.608177765048612e-06
8,Can,Test1,4.786752022839689e-06
9,Can,Test1,1.978768837166993e-06
10,Can,Test1,-1.7266207831030407e-06
11,Can,Test1,2.6342524585725346e-06
15,Can,Test1,2.4049123743789035e-06
16,Can,Test1,3.1321507224900624e-06
21,Can,Test1,1.957326119801881e-06
22,Can,Test1,-1.5059294671558567e-06
24,Can,Test1,7.2054878101513965e-06
25,Can,Test1,2.8931913607840565e-07
27,Can,Test1,5.773124628342217e-07
29,Can,Test1,2.525907093376773e-06
30,Can,Test1,7.616152506668355e-07
31,Can,Test1,6.417159127396644e-08
32,Can,Test1,5.346989869644574e-06
33,Can,Test1,1.6047744989876928e-06
1,Rev,Test2,6.884166902986473e-06
2,Rev,Test2,2.696348792696137e-07
3,Rev,Test2,1.136894993682528e-06
4,Rev,Test2,8.50627252405017e-08
5,Rev,Test2,-5.186136910737343e-07
7,Rev,Test2,8.121902350652471e-09
6,Rev,Test2,9.31582815093338e-07
8,Rev,Test2,3.294537145386402e-06
9,Rev,Test2,3.641907503101831e-06
10,Rev,Test2,-1.4760957628167261e-06
11,Rev,Test2,4.892993281904358e-06
15,Rev,Test2,3.406706045357192e-06
16,Rev,Test2,-2.5230551957117296e-07
21,Rev,Test2,5.132351119904127e-07
22,Rev,Test2,-7.84961651814801e-07
24,Rev,Test2,5.658168826390892e-06
25,Rev,Test2,2.5109173606721577e-06
27,Rev,Test2,5.156735375256077e-07
29,Rev,Test2,3.73761171248464e-06
30,Rev,Test2,8.839799973434168e-07
31,Rev,Test2,8.244269000297435e-07
32,Rev,Test2,3.619633372706543e-06
33,Rev,Test2,1.3354579862779494e-06
1,Rev,Test1,5.232436157233318e-06
2,Rev,Test1,-2.2443095315500698e-06
3,Rev,Test1,8.440199837726881e-07
4,Rev,Test1,-1.286374761943695e-06
5,Rev,Test1,2.8540551440882077e-06
7,Rev,Test1,-2.3115339559464596e-06
6,Rev,Test1,2.2184900968218588e-07
8,Rev,Test1,3.0132597116196737e-06
9,Rev,Test1,1.3964099283542403e-06
10,Rev,Test1,-7.36790268094882e-07
11,Rev,Test1,3.815365146580283e-06
15,Rev,Test1,8.32709387079284e-08
16,Rev,Test1,1.8070199413298035e-06
21,Rev,Test1,9.406543723798161e-07
22,Rev,Test1,-1.1139029506303307e-06
24,Rev,Test1,6.885852004432775e-06
25,Rev,Test1,1.3023162062656134e-06
27,Rev,Test1,6.840904355403455e-07
29,Rev,Test1,4.206014055056563e-06
30,Rev,Test1,8.920915654626957e-07
31,Rev,Test1,-4.989175005707314e-07
32,Rev,Test1,2.1010156263197245e-06
33,Rev,Test1,2.6932761972499663e-06
